,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Nikki Payne,1976-1-17,"Lower Sackville, Nova Scotia, Canada",,Alive,"Nikki Payne (also credited as Nikkie Payne), is a Canadian comedian and actress, from Lower Sackville, Nova Scotia, Canada.[1] Born with a cleft palate,[1] she is well known for incorporating her lisp into her comedy act.[1] She has won three Canadian Comedy Awards for Best Stand-up Newcomer and Best Female Stand-up in 2003, 2005 & 2008.Payne was born at Lower Sackville, Nova Scotia.",https://en.wikipedia.org/wiki/Nikki_Payne,https://upload.wikimedia.org/wikipedia/commons/0/0a/Nikki_Payne.jpg
Minnie Pearl,1912-10-25,"Centerville, Tennessee, U.S.",1996-03-04,Deceased,"Sarah Ophelia Colley Cannon (October 25, 1912 – March 4, 1996), known professionally as her stage character Minnie Pearl, was an American country comedian who appeared at the Grand Ole Opry for more than 50 years (from 1940 to 1991) and on the television show Hee Haw from 1969 to 1991.[1][2]Sarah Colley was born in Centerville in Hickman County, Tennessee, 50 miles (80 km) southwest of Nashville. She was the youngest of five daughters born to a prosperous lumberman in Centerville.[3]She graduated from Ward-Belmont College (now Belmont University), at the time Nashville's most prestigious school for young ladies, where she majored in theater studies and dance.",https://en.wikipedia.org/wiki/Minnie_Pearl,https://upload.wikimedia.org/wikipedia/commons/d/d0/Minnie_Pearl_1965.JPG
Jordan Peele,1979-02-21,"New York City, U.S.",,Alive,"Jordan Haworth Peele (born February 21, 1979) is an American actor, comedian, writer, director, and producer. He is best known for his television and film work in the comedy and horror genres.[1][2]Peele's breakout role came in 2003 when he was hired as a cast member on the Fox sketch comedy series Mad TV, where he spent five seasons, leaving the show in 2008. In the following years, he and his frequent Mad TV collaborator, Keegan-Michael Key, created and starred in their own Comedy Central sketch comedy series Key & Peele (2012–2015).",https://en.wikipedia.org/wiki/Jordan_Peele,https://upload.wikimedia.org/wikipedia/commons/3/30/Jordan_Peele_Peabody_2014_%28cropped%29.jpg
Eddie Pepitone,1958-11-05,"Brooklyn, New York (state)|New York, United States|U.S.",,Alive,"Edward David Pepitone (born November 5, 1958) is an American actor and stand-up comedian.Pepitone was born in Brooklyn, New York, and was raised from the age of nine on Staten Island.Described as a ""cult favorite"",[1] Pepitone is a staple in the Los Angeles comedy scene. He is known for his regular appearances on the WTF with Marc Maron podcast and his sketch appearances on Late Night with Conan O'Brien and Conan, often playing his recurring role as the ""New York City Heckler"" in the audience.",https://en.wikipedia.org/wiki/Eddie_Pepitone,https://upload.wikimedia.org/wikipedia/commons/3/3c/Eddie_Pepitone_in_2012.jpg
Joe Pera,25-2014-18,"Buffalo, New York|Buffalo, New York (state)|New York, U.S.",,Alive,"Joseph Pera (born 1988 or 1989)[1] is an American comedian, writer and actor. He is best known as the creator and star of Adult Swim's Joe Pera Talks with You.Joe Pera was born in Buffalo, New York. He studied film at Ithaca College, where he competed and won the college's stand-up competition three times.",https://en.wikipedia.org/wiki/Joe_Pera,https://upload.wikimedia.org/wikipedia/commons/f/f0/Joe_Pera_%286176423956%29.jpg
Chelsea Peretti,1978-2-20,"Oakland, California, U.S.",,Alive,"Chelsea Vanessa Peretti (born February 20, 1978) is an American comedian, actress, television writer, singer and songwriter. She is best known for portraying Gina Linetti in the police comedy series Brooklyn Nine-Nine.[2]Peretti was born on February 20, 1978, in Oakland, California, the daughter of a schoolteacher mother and a criminal defense lawyer and painter father.[3] Her father is of English and Italian descent and her mother is Jewish.",https://en.wikipedia.org/wiki/Chelsea_Peretti,https://upload.wikimedia.org/wikipedia/commons/1/1f/Chelsea_Peretti_at_Meltdown_%28cropped%29.jpg
Tammy Pescatelli,1969-05-15,"Perry, Ohio, United States",,Alive,"Tammy Pescatelli (born Tammy Gillespie) is an American stand-up comedian.Pescatelli was born in Perry, Ohio and spent her childhood summers in her mother's hometown of Meadville, Pennsylvania.[3] Pescatelli worked as a morning radio show co-host, performer, TV spokeswoman and basketball cheerleader from 1990 to 1995 in the Quad Cities area of southeastern Iowa and northwestern Illinois.[4] Pescatelli's comedic career took off after appearing on NBC's Last Comic Standing in 2004.",https://en.wikipedia.org/wiki/Tammy_Pescatelli,https://upload.wikimedia.org/wikipedia/commons/b/b1/Tammy_Pescatelli.jpeg
Emo Philips,1956-2-7,"Chicago, Illinois, United States",,Alive,"Emo Philips (born February 7, 1956) is an American stand-up comedian, actor, voice actor, writer and producer. His stand-up comedy persona makes use of paraprosdokians spoken in a wandering falsetto tone of voice. The confused, childlike delivery of his material produces the intended comic timing in a manner invoking the ""wisdom of children"" or the idiot savant.The character of Emo Philips is widely known for his unique look and on-stage antics, appearing as a fidgety, possibly mentally disturbed, nervous but highly intelligent individual with an obsession for coleslaw.",https://en.wikipedia.org/wiki/Emo_Philips,https://upload.wikimedia.org/wikipedia/commons/2/28/Emo_Philips_Opening_for_Weird_Al_Yankovic_at_the_Apollo_Theater_%2840964853051%29.jpg
John Pinette,1964-3-23,"Boston, Massachusetts, US",2014-4-5,Deceased,"John Paul Pinette (/pɪˈnɛt/ pi-NET) (March 23, 1964 – April 5, 2014) was an American stand-up comedian, actor, and Broadway performer. He toured the comedy club circuit beginning in the 1980s and appeared in cinema and on television. Besides stand-up, Pinette did impressions of Michael Jackson, The Chipmunks, Elvis Presley, Gollum from The Lord of the Rings, Hervé Villechaize (Tattoo from Fantasy Island), an Ewok, actor Marlon Brando (notably Brando's role in The Godfather),  as well as various ethnic accents. He occasionally sang, for example ""Over the Rainbow"" from The Wizard of Oz, ""Will You Be There"" from Free Willy, and ""Don't Cry for Me Argentina,"" in his stand-up routines.",https://en.wikipedia.org/wiki/John_Pinette,https://upload.wikimedia.org/wikipedia/commons/7/73/John_Pinette_2010.jpg
Aubrey Plaza,1984-06-26,"Wilmington, Delaware, U.S.",,Alive,"Aubrey Christina Plaza[1] (born June 26, 1984)[2] is an American actress, comedian and producer. She began her career performing improv and sketch comedy at the Upright Citizens Brigade Theater. She received further recognition for her starring role as April Ludgate on the NBC sitcom Parks and Recreation (2009–2015). From 2017 to 2019, Plaza starred as Amahl Farouk / Shadow King and Lenny Busker in the FX drama series Legion.",https://en.wikipedia.org/wiki/Aubrey_Plaza,https://upload.wikimedia.org/wikipedia/commons/4/40/Aubrey_Plaza_by_Gage_Skidmore_2.jpg
Tommy Pope,1979-11-21,"Philadelphia, Pennsylvania, United States|U.S.",,Alive,"Thomas Joseph Papa[1] (born November 21, 1979), best known by his stage name, Tommy Pope, is an American stand-up comedian, writer, and actor.[2] He is known for his work in Funny or Die and National Lampoon.[3] Pope is also known for co-creating the comedy group, Deer Prom, which was previously known as BirdText.[4] He also provided some voiceover work for the 2013 Disney film, Planes.",https://en.wikipedia.org/wiki/Tommy_Pope,No Image
Brian Posehn,1966-07-06,"Sacramento, California, U.S.",,Alive,"Brian Edmund Posehn[1] (born July 6, 1966) is an American actor, voice actor, musician, writer, and comedian, known for his roles as Jim Kuback on The WB's Mission Hill and Brian Spukowski on Comedy Central's The Sarah Silverman Program. He also had a recurring role on The Big Bang Theory as geologist Bert Kibbler.Posehn was born[2] and raised[3] in Sacramento, California. He is of German and Irish descent.",https://en.wikipedia.org/wiki/Brian_Posehn,https://upload.wikimedia.org/wikipedia/commons/f/fa/Brian_Posehn_1.JPG
Paula Poundstone,1959-12-29,"Huntsville, Alabama, U.S.",,Alive,"Paula Poundstone (born December 29, 1959) is an American stand-up comedian, author, actress, interviewer, and commentator. Beginning in the late 1980s, she performed a series of one-hour HBO comedy specials. She provided backstage commentary during the 1992 presidential election on The Tonight Show with Jay Leno. She is the host of the Starburns Audio podcast (previously a member of the Maximum Fun network) Nobody Listens to Paula Poundstone, which is the successor to the National Public Radio program Live from the Poundstone Institute.",https://en.wikipedia.org/wiki/Paula_Poundstone,https://upload.wikimedia.org/wikipedia/commons/b/ba/PaulaPoundstoneByPhilKonstantin.jpg
Marc Price,1968-2-23,"New Jersey, United States",,Alive,"Marc Price (born February 23, 1968) is an American actor and comedian, known for his role as Irwin ""Skippy"" Handelman on the television series Family Ties.[1][2]Price is the son of Borscht Belt comedian Al Bernie, and singer Joy Mann.[3]In addition to playing Skippy on Family Ties, Price starred as Eddie 'Ragman' Weinbauer in the 1986 horror film Trick or Treat. He appeared with Kevin Dillon in the 1988 action-adventure film The Rescue.",https://en.wikipedia.org/wiki/Marc_Price,No Image
Freddie Prinze,1954-6-22,"New York City, U.S.",1977-1-29,Deceased,"Freddie James Prinze (born Frederick Karl Pruetzel; June 22, 1954 – January 29, 1977) was an American stand-up comedian and actor. Prinze was the star of NBC-TV sitcom Chico and the Man from 1974 until his death in 1977. Prinze is the father of actor Freddie Prinze Jr.Prinze was born Frederick Karl Pruetzel (German spelling: Prützel) in New York City, the son of Edward Karl Pruetzel and Maria Graniela Pruetzel (née Ramirez).",https://en.wikipedia.org/wiki/Freddie_Prinze,https://upload.wikimedia.org/wikipedia/commons/a/a1/Freddie_Prinze_1975.JPG
Greg Proops,1959-10-3,"Phoenix, Arizona, U.S.",,Alive,"Gregory Everett Proops (born October 3, 1959)[1] is an American actor, stand-up comedian, voice artist and television host. He is widely known for his work as an improvisational comedian on the U.K. and U.",https://en.wikipedia.org/wiki/Greg_Proops,https://upload.wikimedia.org/wikipedia/commons/e/e2/GregProops.jpg
Paul Provenza,1957-7-31,"The Bronx, New York (state)|New York, U.S.",,Alive,"Paul Provenza (born July 31, 1957) is a television presenter, actor, actor on stage, radio panelist, stand-up comedian, filmmaker, and skeptic based in Los Angeles.[1][2] He has appeared on several podcasts and in recent years has interviewed other stand-up comedians. In 2005 he became a director, in 2010 an author and in 2011 he started producing for comedy festivals and television.Provenza was born and grew up in the Pelham Parkway section of the Bronx, New York City, and graduated in 1975 from the Bronx High School of Science.",https://en.wikipedia.org/wiki/Paul_Provenza,https://upload.wikimedia.org/wikipedia/commons/8/85/Paul_Provenza_by_Gage_Skidmore.jpg
Richard Pryor,1940-12-1,"Peoria, Illinois, U.S.",2005-12-10,Deceased,"Richard Franklin Lennox Thomas Pryor (December 1, 1940 – December 10, 2005) was an American stand-up comedian, actor, and writer.  He reached a broad audience with his trenchant observations and storytelling style, and is widely regarded as one of the greatest and most influential stand-up comedians of all time.Pryor's body of work includes the concert movies and recordings: Richard Pryor: Live & Smokin' (1971), That Nigger's Crazy (1974), ..",https://en.wikipedia.org/wiki/Richard_Pryor,https://upload.wikimedia.org/wikipedia/commons/b/bb/Richard_Pryor_%281986%29_%28cropped%29.jpg
Colin Quinn,1959-6-6,"Park Slope, Brooklyn, New York (state)|New York, U.S.",,Alive,"Colin Edward Quinn (born June 6, 1959) is an American stand-up comedian, actor, and writer. On television, he is best known for his work as a cast member on Saturday Night Live, where he anchored Weekend Update, on MTV's 1980s game show Remote Control, where he served as the announcer/sidekick, and as host of Comedy Central's late-night panel show Tough Crowd with Colin Quinn. Notable film work includes his role as Dooey in A Night at the Roxbury, Dickey Bailey in the Grown Ups films and playing Amy Schumer's father in the film Trainwreck. Comedians such as Jerry Seinfeld, Tina Fey, Chris Rock, and Dave Attell have cited Quinn as the quintessential ""comic's comic"" and New York comedian.",https://en.wikipedia.org/wiki/Colin_Quinn,https://upload.wikimedia.org/wikipedia/commons/f/fd/ColinQuinn071r-1_%28cropped%29.jpg
Mary Lynn Rajskub,1971-6-22,"Detroit|Detroit, Michigan, U.S.",,Alive,"Mary Lynn Rajskub (/ˈraɪskəb/; born June 22, 1971)[1] is an American actress and comedian, best known for portraying Chloe O'Brian in the Fox action thriller series 24. She appeared on HBO's Mr. Show, and in the films Dude, Where's My Car?, Sweet Home Alabama, Punch-Drunk Love, Safety Not Guaranteed, The Kings of Summer and Night School, among others.Rajskub was born on June 22, 1971 in Detroit, Michigan, and raised in nearby Trenton, the daughter of Betty and Tony Rajskub.",https://en.wikipedia.org/wiki/Mary_Lynn_Rajskub,https://upload.wikimedia.org/wikipedia/commons/5/51/Mary_Lynn_Rajskub_at_24_finale_2009_crop.jpg
Steve Rannazzisi,1977-7-4,"Smithtown, New York, U.S.",,Alive,"Stephen Rannazzisi (born July 4, 1977)[1][2] is an American actor and stand-up comedian. He acted in the FXX comedy series The League as fantasy football league player Kevin MacArthur.Rannazzisi, born in Smithtown, New York on July 4, 1977, briefly attended the Catholic St. Anthony's High School in South Huntington, New York on Long Island, leaving after a year in what he called a mutual decision.",https://en.wikipedia.org/wiki/Steve_Rannazzisi,No Image
Donnell Rawlings,1968-12-06,"Washington, D.C.",,Alive,"Donnell M. Rawlings (born December 6, 1968) is an American comedian, actor, and radio host.[1] He is best known as a cast member on the Comedy Central sketch comedy TV series Chappelle's Show and the HBO drama The Wire.Donnell Rawlings was born in Washington, D.",https://en.wikipedia.org/wiki/Donnell_Rawlings,https://upload.wikimedia.org/wikipedia/commons/e/e8/Donnell_Rawlings_stands_in_front_of_a_C-17_Globemaster_III_%2832666816002%29_%28cropped%29.jpg
Adam Ray,1982-06-16,"Seattle, Washington, U.S.",,Alive,"Adam Ray (born June 16, 1982)[citation needed] is an American comedian and actor, best known for voicing Swift Wind in the 2019 She-Ra and the Princesses of Power. He also played Slimer in Ghostbusters (2016).He was born and raised in Seattle, Washington.[1].",https://en.wikipedia.org/wiki/Adam_Ray_(comedian),No Image
Jonah Ray,1982-8-3,"Kailua, Honolulu County, Hawaii|Kailua, Hawaii, United States|U.S.",,Alive,"Jonah Ray Rodrigues (born August 3, 1982) is an American actor, comedian and writer from Los Angeles. He stars as the current host of the revival of Mystery Science Theater 3000. He is no longer one of the three hosts of The Nerdist Podcast and was the co-host of Comedy Central's The Meltdown with Jonah and Kumail.Originally from Kailua, Hawaii on the island of Oahu, Ray played in local Hawaii rock/punk bands and later moved to Los Angeles.",https://en.wikipedia.org/wiki/Jonah_Ray,https://upload.wikimedia.org/wikipedia/commons/b/bf/Jonah_Ray_Photo_Op_GalaxyCon_Raleigh_2019.jpg
Brian Regan,1958-06-2,"Miami, Florida U.S.",,Alive,"Brian Joseph Regan (/ˈriːɡən/) (born June 2, 1958) is an American stand-up comedian who uses observational, sarcastic, and self-deprecating humor. His performances are clean as he refrains from profanity and off-color humor. Regan's material typically covers everyday events, such as shipping a package with UPS, mortgages, and visits to the optometrist. While he does not define himself as youth-oriented, Regan makes frequent references to childhood, including little league baseball, grade school spelling bees, and science projects.",https://en.wikipedia.org/wiki/Brian_Regan_(comedian),No Image
Paul Reiser,1956-3-30,"New York City, New York (state)|New York, U.S.",,Alive,"Paul Reiser (born March 30, 1956)[1] is an American comedian, actor, writer, and musician. He is known for his roles as  Michael Taylor in the 1980s sitcom My Two Dads, Paul Buchman in the NBC sitcom Mad About You, Modell in the 1982 film Diner, Carter Burke in the 1986 film Aliens, and more recently as Jim Neiman in the 2014 film Whiplash and Doug Getty in the Amazon Video series Red Oaks.Reiser is ranked 77th on Comedy Central's 2004 list of the ""100 Greatest Stand-ups of All Time"". The name of Reiser's production company, Nuance Productions, is inspired by one of his lines in the film Diner, in which his character explains his discomfort with the word ""nuance"".",https://en.wikipedia.org/wiki/Paul_Reiser,https://upload.wikimedia.org/wikipedia/commons/8/83/Paul_Reiser_by_Gage_Skidmore.jpg
Tom Rhodes,1967-1-14,"Washington D.C., United States|U.S.",,Alive,"Tom Rhodes (born January 14, 1967) is an American comedian, actor, host, and travel writer.When Comedy Central began in the early 1990s, Rhodes became the first comedian spokesperson they signed. Much of his commercial success came during this time. He was later the star of NBC's Mr.",https://en.wikipedia.org/wiki/Tom_Rhodes,No Image
Michael Richards,1949-7-24,"Culver City, California, U.S.",,Alive,"Michael Anthony Richards (born July 24, 1949) is an American actor, writer, television producer and retired comedian. He began his career as a stand-up comedian, first entering the national spotlight when he was featured on Billy Crystal's first cable TV special. He went on to become a series regular on ABC's Fridays. He made numerous guest appearances on a variety of television shows, such as Cheers.",https://en.wikipedia.org/wiki/Michael_Richards,https://upload.wikimedia.org/wikipedia/commons/9/90/Michael_Richards_%281993%29.jpg
Don Rickles,1926-5-8,"Queens, New York, U.S.",2017-4-6,Deceased,"Donald Jay Rickles (May 8, 1926 – April 6, 2017) was an American stand-up comedian, actor, and author, known especially for his insult comedy. His film roles included Run Silent, Run Deep (1958) with Clark Gable and Kelly's Heroes (1970) with Clint Eastwood; beginning in 1976, he enjoyed a two-year run starring in the NBC television sitcom C.P.O.",https://en.wikipedia.org/wiki/Don_Rickles,https://upload.wikimedia.org/wikipedia/commons/7/70/Don_Rickles_1.jpg
Rob Riggle,1970-4-21,"Louisville, Kentucky, U.S.",,Alive,"Robert Allen Riggle Jr. (born April 21, 1970) is an American actor and comedian. He is perhaps best known for his work as a correspondent on Comedy Central's The Daily Show from 2006 to 2008, as a cast member on Saturday Night Live from 2004 to 2005, and for his comedic roles in films such as The Hangover, The Other Guys, Let's Be Cops, Dumb & Dumber To, 21 Jump Street, 22 Jump Street, The Goods: Live Hard, Sell Hard, and Step Brothers. He has also co-starred in the Adult Swim comedy-action series NTSF:SD:SUV::.",https://en.wikipedia.org/wiki/Rob_Riggle,https://upload.wikimedia.org/wikipedia/commons/3/30/Rob_Riggle_SDCC_2014.jpg
Jason Ritter,1980-2-17,"Los Angeles, California, U.S.",,Alive,"Jason Ritter (born February 17, 1980) is an American actor. He is known for his roles as Kevin Girardi in the television series Joan of Arcadia, Ethan Haas in The Class, Sean Walker in the NBC series The Event, Dipper Pines in Gravity Falls, and Pat Rollins in Raising Dion. He also played the recurring role of Mark Cyr in the NBC television series Parenthood, for which he received an Emmy Award nomination. In 2017, he starred in the TV comedy series Kevin (Probably) Saves the World.",https://en.wikipedia.org/wiki/Jason_Ritter,https://upload.wikimedia.org/wikipedia/commons/6/69/Jason_Ritter_TIFF_2015.jpg
John Ritter,1948-9-17,"Burbank, California, U.S.",2003-9-11,Deceased,"Jonathan Southworth Ritter[1] (September 17, 1948 – September 11, 2003) was an American actor and comedian. He was the son of the singing cowboy star Tex Ritter and the father of actors Jason and Tyler Ritter. Ritter is known for playing Jack Tripper on the ABC sitcom Three's Company (1977–1984), for which he received a Primetime Emmy Award and a Golden Globe Award in 1984. He briefly reprised the role on the spin-off Three's a Crowd, which aired for one season.",https://en.wikipedia.org/wiki/John_Ritter,https://upload.wikimedia.org/wikipedia/commons/b/b4/John_Ritter_at_the_1988_Emmy_Awards.jpg
Joan Rivers,1933-6-8,"Brooklyn, New York City, New York (state)|New York, U.S.",2014-9-4,Deceased,"Joan Alexandra Molinsky[2] (June 8, 1933 – September 4, 2014), known professionally as Joan Rivers, was an American comedian, actress, writer, producer, and television host. She was noted for her often controversial comedic persona—heavily self-deprecating and sharply acerbic, especially towards celebrities and politicians.Rivers rose to prominence in 1965 as a guest on The Tonight Show. Hosted by her mentor, Johnny Carson, the show established Rivers' comedic style.",https://en.wikipedia.org/wiki/Joan_Rivers,https://upload.wikimedia.org/wikipedia/commons/4/4d/Joan_Rivers_1966_Press_photo.jpg
Craig Robinson,1971-10-25,"Chicago, Illinois, U.S.",,Alive,"Craig Phillip Robinson (born October 25, 1971) is an American actor, comedian, musician and singer. He is best known for his roles as Darryl Philbin on The Office (2005–2013) and Doug Judy (the ""Pontiac Bandit"") on Brooklyn Nine-Nine (2013–present). Robinson has appeared in numerous other television shows and films, including Pineapple Express (2008), Zack and Miri Make a Porno (2008), Hot Tub Time Machine (2010), This Is the End (2013), Sausage Party (2016) and Dolemite Is My Name (2019).Robinson was born in Chicago, Illinois, to a music teacher mother and an attorney father.",https://en.wikipedia.org/wiki/Craig_Robinson_(actor),https://upload.wikimedia.org/wikipedia/commons/a/ad/Craig_Robinson_WonderCon_2013.jpg
Phoebe Robinson,1984-09-28,"Bedford, Ohio, United States",,Alive,"Phoebe Robinson (born September 28, 1984) is an American comedian, writer, and actress based in New York City.Robinson grew up in Bedford Heights and Solon, Ohio. She attended high school at Gilmour Academy. She has a sibling in politics, Phillip Robinson (http://www.",https://en.wikipedia.org/wiki/Phoebe_Robinson,https://upload.wikimedia.org/wikipedia/commons/c/cc/Phoebe_Robinson_2016.jpg
Chris Rock,1965-2-7,"Andrews, South Carolina, U.S. {{Infobox person
|child |=| yes
| occupation |=| |flatlist|
*Comedian
*actor
*television producer
*film producer
*writer}} {{flatlist|
*Comedian
*actor
*television producer
*film producer
*writer}} {{Infobox person
|child |=| yes
| net_worth   |=| United States dollar|US$100 million (2019)|ref|{{cite news|url=https://www.tuko.co.ke/294532-chris-rock-net-worth-houses-cars-career-earnings.html|first=Samuel |last=Maina |title=Chris Rock net worth, houses, cars and career earnings |publisher=Tuko | date=January 9, 2019}}|</ref>|}}",,Alive,"Christopher Julius Rock (born February 7, 1965) is an American comedian, actor, writer, producer, and director.After working as a stand-up comedian and appearing in supporting film roles, Rock came to wider prominence as a cast member of Saturday Night Live in the early 1990s. He went on to more prominent film appearances, with starring roles in Down to Earth (2001), Head of State (2003), The Longest Yard (2005), the Madagascar film series (2005–2012), Grown Ups (2010), its sequel Grown Ups 2 (2013), Top Five (2014), and a series of acclaimed stand-up specials for HBO. He developed, wrote, and narrated the sitcom Everybody Hates Chris (2005–2009), which was based on his early life.",https://en.wikipedia.org/wiki/Chris_Rock,https://upload.wikimedia.org/wikipedia/commons/5/57/Chris_Rock_WE_2012_Shankbone.JPG
Paul Rodriguez,1955-01-19,"Culiacan, Sinaloa, Mexico",,Alive,"Paul Rodriguez, Sr. (born January 19, 1955[1]) is a Mexican-American actor, comedian, singer and rapper.Paul Rodriguez was born in Culiacan, Sinaloa, to Mexican agriculture ranchers.[1] His family later migrated to Compton, California, where Rodriguez enlisted in the United States Air Force and was subsequently stationed in Iceland and Duluth, Minnesota.",https://en.wikipedia.org/wiki/Paul_Rodriguez_(actor),https://upload.wikimedia.org/wikipedia/commons/b/bd/Paul_Rodriguiez_1998.jpg
Joe Rogan,1967-8-11,"Newark, New Jersey, U.S.",,Alive,"Joseph James Rogan (born August 11, 1967) is an American comedian, podcast host, and mixed martial arts color commentator.[1][2] He has also worked as a television host and an actor. Rogan began a career in comedy in August 1988 in the Boston area. After relocating to Los Angeles in 1994, he signed an exclusive developmental deal with Disney and appeared as an actor on several television shows including Hardball and NewsRadio.",https://en.wikipedia.org/wiki/Joe_Rogan,https://upload.wikimedia.org/wikipedia/commons/d/dc/Joe_Rogan.png
Seth Rogen,1982-4-15,"Vancouver, British Columbia, Canada",,Alive,"Seth Aaron Rogen (/ˈroʊɡən/; born April 15, 1982) is a Canadian actor, comedian, writer, producer, and director. Having begun as a stand-up comedian in Vancouver, he moved to Los Angeles for a part in Judd Apatow's series Freaks and Geeks, and then got a part on the sitcom Undeclared, which also hired him as a writer. After landing his job as a staff writer on the final season of Da Ali G Show, Apatow guided him toward a film career. As a staff writer, he was nominated for a Primetime Emmy Award for Outstanding Writing for a Variety Series.",https://en.wikipedia.org/wiki/Seth_Rogen,https://upload.wikimedia.org/wikipedia/commons/e/ee/Seth_Rogen_at_Collision_2019_-_SM0_1823_%2847106936404%29_%28cropped%29.jpg
Ray Romano,1957-12-21,"Queens, New York, U.S.",,Alive,"Raymond Albert Romano (born December 21, 1957) is an American stand-up comedian, actor and screenwriter. He is best known for his role on the sitcom Everybody Loves Raymond, for which he received an Emmy Award, and as the voice of Manny in the Ice Age film series. He created and starred in the TNT comedy-drama Men of a Certain Age (2009–2011). From 2012 to 2015, Romano had a recurring role as Hank Rizzoli, a love interest of Sarah Braverman in Parenthood.",https://en.wikipedia.org/wiki/Ray_Romano,https://upload.wikimedia.org/wikipedia/commons/8/81/Ray_Romano_2014.jpg
Jeffrey Ross,1965-9-13,No home town,,Alive,"Jeffrey Ross Lifschultz (born September 13, 1965),[1] known professionally as Jeff Ross, is an American stand-up comedian, writer, director and actor. He is also known as the ""Roastmaster General"" for his insult comedy and his multiple appearances at celebrity roasts held by the New York Friars Club and on the Comedy Central Roast television series.[2][3][4][5] In 2009 the Chicago Tribune called Ross ""the new millennium Don Rickles.""[6] His directorial debut, the 2006 documentary Patriot Act: A Jeffrey Ross Home Movie, won the prize for Best Film at the Comedia film festival held at the Just for Laughs comedy festival in Montreal.",https://en.wikipedia.org/wiki/Jeffrey_Ross,https://upload.wikimedia.org/wikipedia/commons/a/ae/Jeff_Ross%2C_Joint_Base_Andrews%2C_May_2016_%28cropped%29.jpg
Ben Roy,1979-6-18,No home town,,Alive,"Ben Roy (born June 18, 1979) is an American comedian and musician originally from Winthrop, Maine,[1] who now lives in Denver, Colorado. Heavily tattooed, and known for his ""spittle-flecked rants"" on stage, Roy has been compared to Bill Hicks and Lewis Black.[2] Roy is a member of The Grawlix, a trio of Denver comedians who produce a monthly live comedy show and web series. He stars on the TruTV show Those Who Can't.",https://en.wikipedia.org/wiki/Ben_Roy,https://upload.wikimedia.org/wikipedia/commons/b/bc/Comedian_Ben_Roy_Performs_at_The_Grawlix.jpg
Rita Rudner,1953-9-17,"Miami, Florida, United States",,Alive,"Rita Rudner (born September 17, 1953) is an American comedian. Beginning her career as a Broadway dancer, Rita Rudner noticed the lack of female comedians in New York City and turned to stand-up comedy where she has flourished for over three decades. Her performance on a variety of HBO specials and numerous appearances on The Tonight Show with Johnny Carson, helped establish Rudner as one of the premier comics to emerge from the comedy boom of the 1980s.Rudner was born in Miami, Florida,[1] the daughter of Frances, a homemaker, and Abe Rudner, a lawyer.",https://en.wikipedia.org/wiki/Rita_Rudner,https://upload.wikimedia.org/wikipedia/commons/4/4f/Rita_Rudner.jpg
Chris Rush,1946-02-11 00:00:00,"Brooklyn, New York, United States",2018-1-28,Deceased,"Chris Rush  (born Christopher John Mistretta February 11, 1946 - January 28, 2018) was an American comedian, writer, actor, radio personality and author. He is best known for his stand-up routines and albums, along with having been a writer and editor on the satirical publication National Lampoon magazine.[1]Rush was born in Brooklyn, New York.[2] Rush was of Italian descent and was raised in the Roman Catholic faith.",https://en.wikipedia.org/wiki/Chris_Rush,No Image
Nipsey Russell,1918-09-15,"Atlanta, Georgia, United States",2005-10-02,Deceased,"Julius ""Nipsey"" Russell (September 15, 1918 – October 2, 2005)[1][2] was an American comedian, poet, and dancer best known for his appearances as a panelist on game shows from the 1960s through the 1990s, including Match Game, Password, Hollywood Squares, To Tell the Truth, and Pyramid. His appearances were often distinguished by short, humorous poems he recited during the broadcast, which led to his nickname ""the poet laureate of television"". He had one of the leading roles in the film version of The Wiz as the Tin Man. He was a frequent guest on the Dean Martin Celebrity Roast series.",https://en.wikipedia.org/wiki/Nipsey_Russell,https://upload.wikimedia.org/wikipedia/commons/8/83/Nipsey_Russell_1971.jpg
Bob Saget,1956-5-17,"Philadelphia, Pennsylvania, U.S.",,Alive,"Robert Lane Saget (/ˈsæɡət/; born May 17, 1956)[1] is an American stand-up comedian, actor, television host and director. His television roles include Danny Tanner on the ABC sitcom Full House (1987–95) and its Netflix sequel Fuller House, and hosting America's Funniest Home Videos from 1989 to 1997. Saget is also known for his adult-oriented stand-up routine.[2] He also provided the voice of the future Ted Mosby on the CBS sitcom How I Met Your Mother from 2005 to 2014.",https://en.wikipedia.org/wiki/Bob_Saget,https://upload.wikimedia.org/wikipedia/commons/5/5e/Bob_Saget%2C_Behind_The_Velvet_Rope_TV_.05.jpg
Mort Sahl,1927-5-11,"Montreal, Quebec, Canada",,Alive,"Morton Lyon Sahl (born May 11, 1927) is an American comedian, actor, and social satirist, considered the first modern stand-up comedian since Will Rogers.[1][2] Sahl pioneered a style of social satire which pokes fun at political and current event topics using improvised monologues and only a newspaper as a prop.Sahl spent his early years in Los Angeles and moved to the San Francisco Bay Area where he made his professional stage debut at the hungry i nightclub in 1953.[3] His popularity grew quickly, and after a year at the club he traveled the country doing shows at established nightclubs, theaters and college campuses.",https://en.wikipedia.org/wiki/Mort_Sahl,https://upload.wikimedia.org/wikipedia/commons/0/0c/Mort_Sahl_-1.jpg
